Census Tract,EDUCATIONAL ATTAINMENT: Population 25 years and over,"EDUCATIONAL ATTAINMENT: Population 25 years and over: 9th to 12th grade, no diploma",EDUCATIONAL ATTAINMENT: Population 25 years and over: Associate's degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: Bachelor's degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: Bachelor's degree or higher,EDUCATIONAL ATTAINMENT: Population 25 years and over: Graduate or professional degree,EDUCATIONAL ATTAINMENT: Population 25 years and over: High school graduate (includes equivalency),EDUCATIONAL ATTAINMENT: Population 25 years and over: High school graduate or higher,EDUCATIONAL ATTAINMENT: Population 25 years and over: Less than 9th grade,"EDUCATIONAL ATTAINMENT: Population 25 years and over: Some college, no degree",GEO Identifier,HOUSEHOLDS BY TYPE: Total households,HOUSEHOLDS BY TYPE: Total households: Average family size,HOUSEHOLDS BY TYPE: Total households: Average household size,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: College or graduate school,SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Elementary school (grades 1-8),SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: High school (grades 9-12),SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Kindergarten,"SCHOOL ENROLLMENT: Population 3 years and over enrolled in school: Nursery school, preschool",GLOBALID,x,y
1.01,1150,0,0,583,1065,482,20,1141,9,56,11001000101,762,2.43,1.68,83,7,46,0,8,22,{5BEBF124-F100-4895-834A-2A9E58B2431E},,
1.02,2824,0,0,1256,2562,1306,86,2745,79,97,11001000102,1807,2.23,1.79,456,200,166,15,18,57,{B5A58B18-02B2-4A83-800D-034AED2D7B40},,
2.01,84,0,8,24,70,46,6,84,0,0,11001000201,0,,,3874,3874,0,0,0,0,{91EB0CFA-8036-47D3-B86B-46457F5B5941},,
2.02,2639,0,20,598,2272,1674,92,2623,16,239,11001000202,1801,2.59,1.91,1782,1501,94,137,0,50,{AC672173-E34F-459B-B430-498D22A9487E},,
3,3989,17,49,1260,3603,2343,165,3972,0,155,11001000300,2510,2.99,2.38,1881,978,437,224,20,222,{F8767321-F70D-4A67-83F3-611E4B383B5C},,
4,1117,12,29,353,1008,655,27,1097,8,33,11001000400,592,3.51,2.49,470,191,154,110,5,10,{D81754A2-C6D2-4359-B44B-C0F82FB7814B},,
5.01,2888,42,35,1039,2640,1601,39,2845,1,131,11001000501,2069,2.51,1.63,544,296,165,65,18,0,{FC6CC6CF-AACE-41B8-8C2A-26C9E22A4AE6},,
5.02,2697,39,16,680,2423,1743,80,2633,25,114,11001000502,1730,2.69,2.01,529,102,233,68,0,126,{8AA07EC3-5808-41B2-8D0B-9CC4C7D6F66B},,
6,3636,106,0,1056,3011,1955,204,3442,88,227,11001000600,2222,2.78,2.04,834,136,392,124,104,78,{9D3E8419-CC10-48AC-A505-EA2FFDC8ABFF},,
7.02,2623,25,26,632,2214,1582,72,2598,0,286,11001000702,2169,2.39,1.32,771,670,0,24,0,77,{374676E4-AEA9-46AA-8208-0DC2A86A2DBE},,
7.03,2805,16,27,761,2438,1677,267,2773,16,41,11001000703,2126,2.26,1.5,380,303,77,0,0,0,{B7B841E2-7AF6-4C09-ADD3-4D34640566D6},,
7.04,1957,0,58,320,1729,1409,26,1907,50,94,11001000704,1410,2.56,1.82,488,331,93,46,0,18,{D311282C-B9F6-4DC3-8C84-1D8D7FC9A10B},,
8.02,2583,9,48,726,2208,1482,76,2537,37,205,11001000802,1452,3.01,2.33,986,348,320,159,28,131,{A66D1F41-C336-458C-B60E-88C059EE7AB2},,
8.03,1617,0,10,383,1502,1119,58,1617,0,47,11001000803,1191,2.98,1.97,822,534,145,32,0,111,{E105BEEF-8E47-4B99-B953-89F181D361AC},,
8.04,2298,0,58,963,2113,1150,73,2298,0,54,11001000804,1232,3.39,2.74,1363,587,487,185,25,79,{83157313-45D7-498F-8768-811C6E696A40},,
9.02,1558,17,20,388,1367,979,79,1515,26,49,11001000902,857,3.13,2.78,733,96,315,201,37,84,{F2175FA2-9ECA-4BC6-90C7-DDEC2B199D9B},,
9.03,804,0,13,82,746,664,13,804,0,32,11001000903,384,3.16,2.98,3290,3061,103,87,29,10,{A68CBBBC-560B-48B4-ABC0-9E755165D456},,
9.04,2177,13,23,533,1988,1455,65,2164,0,88,11001000904,1159,2.97,2.7,761,100,380,194,32,55,{5AD3F769-3F16-47A9-A9C3-A7BFCCB32795},,
10.02,2488,0,0,856,2294,1438,52,2488,0,142,11001001002,1921,2.79,1.77,1042,610,276,39,0,117,{7E6F415A-C83C-4E65-AE5E-49A73F53E5E9},,
10.03,2049,15,58,327,1771,1444,116,2034,0,89,11001001003,1129,2.78,2.64,635,91,406,45,29,64,{CDBD57C5-248C-488E-A5DA-264157B9DD96},,
10.04,2781,0,0,647,2335,1688,175,2758,23,248,11001001004,1675,3,2.46,1590,629,527,176,49,209,{30B7B4BD-1BD8-42CA-95BA-EED9310D601D},,
11,3398,45,15,924,2905,1981,194,3323,30,209,11001001100,2060,2.91,2.17,964,310,344,145,113,52,{DCB84DFF-2DBE-4649-B78E-CE125654B37D},,
12,4044,2,60,1223,3453,2230,139,3991,51,339,11001001200,2578,2.77,1.97,1001,420,337,90,15,139,{E32693CF-E9D2-4B8A-A322-12776315E912},,
13.01,3285,31,0,890,2775,1885,56,3254,0,423,11001001301,2023,3.16,2.16,1055,376,374,119,38,148,{39F0BFE6-88DA-4E13-AF80-958B7E9055E8},,
13.03,3114,57,23,1194,2880,1686,43,3057,0,111,11001001303,2238,2.05,1.57,280,280,0,0,0,0,{CE2889D0-406D-4DD5-9720-E801FCEEA3B9},,
13.04,4247,0,226,1433,3836,2403,0,4247,0,185,11001001304,2973,2.12,1.51,404,256,148,0,0,0,{A3778EB0-1C96-4564-8E6F-E9CE07685278},,
14.01,2471,23,20,696,2277,1581,14,2421,27,110,11001001401,1296,3.34,2.68,1045,184,334,150,127,250,{EDDD441E-7188-4764-972E-CAA4377C9761},,
14.02,2551,88,54,751,2155,1404,120,2454,9,125,11001001402,1557,3.11,2.23,831,118,334,83,186,110,{B1C1294C-07FA-447E-A37C-2E0CC289CF92},,
15,4065,33,52,923,3472,2549,127,3794,238,143,11001001500,2069,3.09,2.76,1661,128,832,418,81,202,{410DDE53-A48C-4D15-90E1-57DE25D229CE},,
16,3201,56,143,742,2521,1779,153,3097,48,280,11001001600,1610,3.18,2.7,1072,248,434,246,70,74,{913D4FF3-301C-425C-BF27-BFCC9553D167},,
17.02,2757,61,60,628,2125,1497,161,2669,27,323,11001001702,1721,3.19,2.06,778,187,292,247,11,41,{58B3E3AA-1E43-40A9-B52C-342136A53E6B},,
18.03,2866,163,165,460,868,408,716,2361,342,612,11001001803,1640,3.37,2.53,1151,255,452,259,29,156,{0CF85B7D-1BB1-4E09-AFFD-3F191DBC9887},,
18.04,3619,315,153,503,1227,724,1011,2964,340,573,11001001804,2024,3.79,2.59,1426,189,839,53,269,76,{C86F9C89-CA5D-4053-B58D-51D6AC62E0A9},,
19.01,2982,161,98,581,1268,687,413,2641,180,862,11001001901,1661,3.1,2.67,1225,161,513,310,215,26,{51BC18C8-9F62-4AFD-8983-B6FE6C5CC335},,
19.02,1676,33,77,388,965,577,255,1561,82,264,11001001902,864,3.25,2.73,604,159,262,64,31,88,{9727FC48-DC71-471A-A56E-1AFC8BC30CF4},,
20.01,2316,287,28,375,832,457,392,1563,466,311,11001002001,1176,3.34,2.97,991,122,506,201,94,68,{07C8CB5B-8609-49DD-82B1-CADA25B9A300},,
20.02,2783,18,22,822,1905,1083,352,2678,87,399,11001002002,1506,3.28,2.78,1175,360,404,124,134,153,{000E80B1-A898-411B-9D6D-E093DDF30559},,
21.01,4002,282,95,970,2055,1085,1008,3515,205,357,11001002101,2291,3.04,2.45,1332,289,552,161,167,163,{8185D204-5968-4F35-A84D-6DE6E0D4FB47},,
21.02,3797,181,100,878,1763,885,808,3497,119,826,11001002102,2256,2.92,2.14,958,291,263,146,95,163,{A2CF24AA-E9F7-4FB6-BEC9-1DDE7F444108},,
22.01,2246,42,43,682,1082,400,488,1972,232,359,11001002201,934,4.22,3.39,864,318,402,72,13,59,{7E6B8B2B-A78C-49E3-875F-4566AF73A2CD},,
22.02,2020,94,35,475,1033,558,388,1869,57,413,11001002202,1375,3.43,2.52,683,172,318,72,19,102,{C36D9B46-2681-4BE3-8F43-4231F47A9025},,
23.01,2257,106,83,569,1451,882,236,2113,38,343,11001002301,1205,3.06,2.57,461,82,100,68,83,128,{6FBDCB2D-3B4A-46A5-B9D2-83D17F3081B9},,
23.02,1351,50,62,303,758,455,217,1283,18,246,11001002302,902,2.61,1.64,308,163,107,38,0,0,{9737687F-D596-493E-A7D8-768688C89044},,
24,3206,90,50,863,1843,980,455,2670,446,322,11001002400,1545,3.17,2.49,706,285,124,124,82,91,{4438AD85-FB62-43A7-AC63-7D85FC8E5504},,
25.01,2129,119,118,418,946,528,332,1840,170,444,11001002501,991,3.37,2.86,632,174,250,105,23,80,{F3CBB5DD-3774-4482-8116-8B98BE14CED2},,
25.03,2565,141,42,1121,1754,633,225,2294,130,273,11001002503,1611,2.6,1.78,461,321,62,0,15,63,{106C9EA4-165E-4573-A9CC-C5BA4421FFDC},,
25.04,2674,114,1,582,1414,832,476,2130,430,239,11001002504,1414,3.76,2.43,589,100,389,17,53,30,{E7E98059-A7A5-4739-8DD1-A5C42A99D6F8},,
26,1970,31,6,651,1595,944,125,1883,56,157,11001002600,887,3.28,2.85,419,97,165,43,28,86,{60239FF6-AA2E-4839-9E05-3BD7EDCEBEA0},,
27.02,4304,306,72,1042,2987,1945,444,3748,250,245,11001002702,2335,2.98,2.4,1026,252,444,90,87,153,{974E9465-BE34-4327-897E-5FAC47C545D1},,
27.03,1939,94,5,514,1476,962,105,1719,126,133,11001002703,1180,3.02,1.84,223,69,48,11,0,95,{CCF3351A-60EF-4B99-BDC8-B631C6954F13},,
27.04,2444,68,85,561,1617,1056,121,1988,388,165,11001002704,1749,2.95,2.05,653,255,256,126,0,16,{FE098730-5456-4599-80FC-E7D6D7BCD2C4},,
28.01,2889,120,40,822,1750,928,531,2594,175,273,11001002801,1798,3.68,2.25,955,392,296,121,66,80,{7D35AE89-374C-4C5A-A065-5D1F75791DD2},,
28.02,4039,185,41,906,2378,1472,679,3356,498,258,11001002802,2715,3.13,1.89,946,353,318,204,0,71,{71F8189D-7BF5-468B-81C5-439ED79F57D9},,
29,3398,205,53,1010,2319,1309,313,2959,234,274,11001002900,1675,3.34,2.68,993,332,311,166,81,103,{C50EF061-4DD0-4D6D-B892-EFD52BD413D6},,
30,2922,129,91,659,1604,945,542,2542,251,305,11001003000,1665,3.23,2.44,990,384,289,167,54,96,{F722AB82-40D6-4346-A4A7-5A1744FF6A52},,
31,2919,120,71,753,2168,1415,205,2607,192,163,11001003100,1728,3.57,2.15,711,215,241,118,107,30,{24148101-020F-466C-8668-5239CD7DC660},,
32,3233,314,74,686,1566,880,606,2642,277,396,11001003200,1612,3.71,2.87,1027,394,272,215,62,84,{AC44CC27-D71A-4DF3-9D83-9DE6E6B615A9},,
33.01,3402,51,70,1192,2892,1700,209,3302,49,131,11001003301,1867,2.52,2.13,646,403,169,33,0,41,{C293082D-CF5C-4064-8B30-D99925AE1324},,
